University of Southern Denmark ...;=353;8500 EUR per year
Westfälische Wilhelms-Universi ...;356;Not Provided
University of Lisbon;=357;4667 EUR per year
University of Porto;=357;5000 EUR per year
Norwegian University of Scienc ...;=360;0 EUR per year
Johannes Kepler University Linz;=362;10000 EUR per year
Brunel University London;=368;17709 EUR per year
Université de Strasbourg;=398;Not Provided
National Research Tomsk Polyte ...;=401;Not Provided
Johannes Gutenberg Universität ...;=403;9000 EUR per year
University of Trento;=403;6500 EUR per year
University of Oulu;408;10000 EUR per year
University of Essex;=411;11166 EUR per year
University of Tromsø The Arcti ...;=416;Not Provided
Vilnius University;=423;5000 EUR per year
University of Bordeaux;425;Not Provided
Universidade Nova de Lisboa;=428;3100 EUR per year
University of Florence;=432;Not Provided
Julius-Maximilians-Universität ...;=432;Not Provided
Ruhr-Universität Bochum;=439;0 EUR per year
Dublin City University;=439;19900 EUR per year
Universität Konstanz;=443;Not Provided
Universität des Saarlandes;=451;Not Provided
Koç University;=465;0 EUR per year
National Technical University ...;=477;Not Provided
V. N. Karazin Kharkiv National ...;=477;Not Provided
Universität Leipzig;=483;Not Provided
Aberystwyth University;=485;16413 EUR per year
Far Eastern Federal University;=493;4330 EUR per year
Universidad de Zaragoza;501-510;Not Provided
Warsaw University of Technology;511-520;4000 EUR per year
Aix-Marseille University;511-520;9000 EUR per year
University of Klagenfurt;511-520;363 EUR per year
University of Rome "Tor Vergata";511-520;Not Provided
University of Bayreuth;521-530;Not Provided
Sabanci University;521-530;16005 EUR per year
University of Milano-Bicocca;521-530;Not Provided
University of Turin;521-530;Not Provided
Justus-Liebig-University Giessen;531-540;0 EUR per year
Masaryk University;531-540;3000 EUR per year
Institut National des Sciences ...;541-550;9000 EUR per year
Universität Bremen;541-550;16000 EUR per year
Université Paul Sabatier Toulo ...;551-560;Not Provided
Technische Universität Braunsc ...;551-560;Not Provided
Aristotle University of Thessa ...;571-580;Not Provided
Kingston University, London;581-590;17865 EUR per year
Universitat de Valencia;591-600;16000 EUR per year
Southern Federal University;591-600;Not Provided
Ulster University;601-650;16168 EUR per year
University of Bradford;601-650;18803 EUR per year
University of Salamanca;601-650;5200 EUR per year
Universität Regensburg;601-650;Not Provided
Taras Shevchenko National Univ ...;601-650;Not Provided
University of Ljubljana;601-650;6000 EUR per year
Eötvös Loránd University;601-650;4400 EUR per year
Bangor University;601-650;16748 EUR per year
Leibniz University Hannover;651-700;0 EUR per year
National Technical University ...;651-700;Not Provided
University of Plymouth;651-700;16525 EUR per year
Bogaziçi Üniversitesi;651-700;Not Provided
National and Kapodistrian Univ ...;651-700;Not Provided
University of Siena;651-700;Not Provided
University of Trieste;701-750;1100 EUR per year
Middlesex University;701-750;15632 EUR per year
Universität Rostock;701-750;Not Provided
Maynooth University;701-750;Not Provided
Brno University of Technology;701-750;3000 EUR per year
Université Claude Bernard Lyon 1;701-750;243 EUR per year
Keele University;701-750;17307 EUR per year
Universidade de Santiago de Co ...;701-750;Not Provided
Istanbul Technical University;751-800;4742 EUR per year
University of Brescia;751-800;Not Provided
Ca' Foscari University of Venice;751-800;2100 EUR per year
Università degli Studi di Perugia;751-800;Not Provided
Universität Duisburg-Essen;751-800;Not Provided
University of Modena and Reggi ...;751-800;Not Provided
University of Patras;751-800;Not Provided
Robert Gordon University;801-1000;15319 EUR per year
London Metropolitan University;801-1000;1641 EUR per module
Technological University Dublin;801-1000;15000 EUR per year
Manchester Metropolitan Univer ...;801-1000;Not Provided
Kaunas University of Technology;801-1000;4300 EUR per year
University of Murcia;801-1000;6000 EUR per year
Istanbul University;801-1000;3314 EUR per year
Athens University of Economics ...;801-1000;5000 EUR per year
Corvinus University of Budapest;801-1000;6800 EUR per year
University of Crete;801-1000;8000 EUR per year
Hacettepe University;801-1000;Not Provided
Bielefeld University;801-1000;0 EUR per year
TU Dortmund University;801-1000;0 EUR per year
University of East London;801-1000;24285 EUR per year
University of Hertfordshire;801-1000;15241 EUR per year
Belarusian National Technical ...;801-1000;Not Provided
University of Bucharest;801-1000;23333 EUR per year
Verona University;801-1000;1000 EUR per year
University of Salford;801-1000;16380 EUR per year
Université PSL;801-1000;16380 EUR per year
University of Gloucestershire;801-1000;16380 EUR per year
University POLITEHNICA of Bucharest;801-1000;16380 EUR per year
Grenoble Ecole de Management;801-1000;16380 EUR per year
Institut polytechnique de Gren ...;801-1000;16380 EUR per year
Moscow State Linguistic University;801-1000;16380 EUR per year
Universitat Jaume I;801-1000;16380 EUR per year
ENSEIRB-MATMECA, Bordeaux;801-1000;16380 EUR per year
Yanka Kupala State University ...;801-1000;16380 EUR per year
Lesya Ukrainka Eastern Europea ...;801-1000;16380 EUR per year
University of West London;801-1000;16380 EUR per year
Aston Business School;801-1000;16380 EUR per year
